country,scenario,year,olefins_activity,h2_intensity,h2_demand_t_per_yr,scope
IE,decarbo-eu,2045,0.0,0.017,0.0,petrochem_olefins
IE,decarbo-eu,2046,0.0,0.016800000000000002,0.0,petrochem_olefins
IE,decarbo-eu,2047,0.0,0.0166,0.0,petrochem_olefins
IE,decarbo-eu,2048,0.0,0.0164,0.0,petrochem_olefins
IE,decarbo-eu,2049,0.0,0.016200000000000003,0.0,petrochem_olefins
IE,decarbo-eu,2050,0.0,0.016,0.0,petrochem_olefins
IT,decarbo-eu,2019,2019801.571428571,0.02,40396.03142857142,petrochem_olefins
IT,decarbo-eu,2020,2019801.571428571,0.02,40396.03142857142,petrochem_olefins
IT,decarbo-eu,2021,2019801.571428571,0.02,40396.03142857142,petrochem_olefins
IT,decarbo-eu,2022,2019801.571428571,0.02,40396.03142857142,petrochem_olefins
IT,decarbo-eu,2023,2019801.571428571,0.02,40396.03142857142,petrochem_olefins
IT,decarbo-eu,2024,2019801.571428571,0.02,40396.03142857142,petrochem_olefins
IT,decarbo-eu,2025,1914440.3159435561,0.02,38288.806318871124,petrochem_olefins
IT,decarbo-eu,2026,1809079.060458542,0.02,36181.58120917084,petrochem_olefins
IT,decarbo-eu,2027,1703717.8049735278,0.02,34074.356099470555,petrochem_olefins
IT,decarbo-eu,2028,1598356.5494885128,0.02,31967.130989770256,petrochem_olefins
IT,decarbo-eu,2029,1492995.2940034983,0.02,29859.905880069968,petrochem_olefins
IT,decarbo-eu,2030,1387634.0385184838,0.02,27752.680770369676,petrochem_olefins
IT,decarbo-eu,2031,1301976.8721963828,0.0198,25779.142069488382,petrochem_olefins
IT,decarbo-eu,2032,1216319.705874282,0.0196,23839.866235135923,petrochem_olefins
IT,decarbo-eu,2033,1130662.5395521808,0.0194,21934.853267312308,petrochem_olefins
IT,decarbo-eu,2034,1045005.37323008,0.0192,20064.103166017536,petrochem_olefins
IT,decarbo-eu,2035,959348.206907979,0.019,18227.6159312516,petrochem_olefins
IT,decarbo-eu,2036,873691.0405858776,0.0188,16425.3915630145,petrochem_olefins
IT,decarbo-eu,2037,788033.8742637766,0.018600000000000002,14657.430061306246,petrochem_olefins
IT,decarbo-eu,2038,702376.7079416757,0.0184,12923.731426126833,petrochem_olefins
IT,decarbo-eu,2039,616719.5416195747,0.0182,11224.29565747626,petrochem_olefins
IT,decarbo-eu,2040,531062.3752974735,0.018000000000000002,9559.122755354525,petrochem_olefins
IT,decarbo-eu,2041,497075.6984674774,0.0178,8847.947432721097,petrochem_olefins
IT,decarbo-eu,2042,463089.0216374811,0.0176,8150.366780819668,petrochem_olefins
IT,decarbo-eu,2043,429102.34480748494,0.0174,7466.380799650237,petrochem_olefins
IT,decarbo-eu,2044,395115.6679774889,0.017200000000000003,6795.98948921281,petrochem_olefins
IT,decarbo-eu,2045,361128.9911474927,0.017,6139.192849507377,petrochem_olefins
IT,decarbo-eu,2046,327142.31431749644,0.016800000000000002,5495.990880533941,petrochem_olefins
IT,decarbo-eu,2047,293155.6374875002,0.0166,4866.383582292504,petrochem_olefins
IT,decarbo-eu,2048,259168.96065750398,0.0164,4250.370954783066,petrochem_olefins
IT,decarbo-eu,2049,225182.28382750787,0.016200000000000003,3647.952998005628,petrochem_olefins
IT,decarbo-eu,2050,191195.60699751164,0.016,3059.1297119601863,petrochem_olefins
LT,decarbo-eu,2019,0.0,0.02,0.0,petrochem_olefins
LT,decarbo-eu,2020,0.0,0.02,0.0,petrochem_olefins
LT,decarbo-eu,2021,0.0,0.02,0.0,petrochem_olefins
LT,decarbo-eu,2022,0.0,0.02,0.0,petrochem_olefins
LT,decarbo-eu,2023,0.0,0.02,0.0,petrochem_olefins
LT,decarbo-eu,2024,0.0,0.02,0.0,petrochem_olefins
LT,decarbo-eu,2025,0.0,0.02,0.0,petrochem_olefins
LT,decarbo-eu,2026,0.0,0.02,0.0,petrochem_olefins
LT,decarbo-eu,2027,0.0,0.02,0.0,petrochem_olefins
LT,decarbo-eu,2028,0.0,0.02,0.0,petrochem_olefins
LT,decarbo-eu,2029,0.0,0.02,0.0,petrochem_olefins
LT,decarbo-eu,2030,0.0,0.02,0.0,petrochem_olefins
LT,decarbo-eu,2031,0.0,0.0198,0.0,petrochem_olefins
LT,decarbo-eu,2032,0.0,0.0196,0.0,petrochem_olefins
LT,decarbo-eu,2033,0.0,0.0194,0.0,petrochem_olefins
LT,decarbo-eu,2034,0.0,0.0192,0.0,petrochem_olefins
LT,decarbo-eu,2035,0.0,0.019,0.0,petrochem_olefins
LT,decarbo-eu,2036,0.0,0.0188,0.0,petrochem_olefins
LT,decarbo-eu,2037,0.0,0.018600000000000002,0.0,petrochem_olefins
LT,decarbo-eu,2038,0.0,0.0184,0.0,petrochem_olefins
LT,decarbo-eu,2039,0.0,0.0182,0.0,petrochem_olefins
LT,decarbo-eu,2040,0.0,0.018000000000000002,0.0,petrochem_olefins
LT,decarbo-eu,2041,0.0,0.0178,0.0,petrochem_olefins
LT,decarbo-eu,2042,0.0,0.0176,0.0,petrochem_olefins
LT,decarbo-eu,2043,0.0,0.0174,0.0,petrochem_olefins
LT,decarbo-eu,2044,0.0,0.017200000000000003,0.0,petrochem_olefins
LT,decarbo-eu,2045,0.0,0.017,0.0,petrochem_olefins
LT,decarbo-eu,2046,0.0,0.016800000000000002,0.0,petrochem_olefins
LT,decarbo-eu,2047,0.0,0.0166,0.0,petrochem_olefins
LT,decarbo-eu,2048,0.0,0.0164,0.0,petrochem_olefins
LT,decarbo-eu,2049,0.0,0.016200000000000003,0.0,petrochem_olefins
LT,decarbo-eu,2050,0.0,0.016,0.0,petrochem_olefins
LU,decarbo-eu,2019,0.0,0.02,0.0,petrochem_olefins
LU,decarbo-eu,2020,0.0,0.02,0.0,petrochem_olefins
LU,decarbo-eu,2021,0.0,0.02,0.0,petrochem_olefins
LU,decarbo-eu,2022,0.0,0.02,0.0,petrochem_olefins
LU,decarbo-eu,2023,0.0,0.02,0.0,petrochem_olefins
LU,decarbo-eu,2024,0.0,0.02,0.0,petrochem_olefins
LU,decarbo-eu,2025,0.0,0.02,0.0,petrochem_olefins
LU,decarbo-eu,2026,0.0,0.02,0.0,petrochem_olefins
LU,decarbo-eu,2027,0.0,0.02,0.0,petrochem_olefins
LU,decarbo-eu,2028,0.0,0.02,0.0,petrochem_olefins
LU,decarbo-eu,2029,0.0,0.02,0.0,petrochem_olefins
LU,decarbo-eu,2030,0.0,0.02,0.0,petrochem_olefins
LU,decarbo-eu,2031,0.0,0.0198,0.0,petrochem_olefins
LU,decarbo-eu,2032,0.0,0.0196,0.0,petrochem_olefins
LU,decarbo-eu,2033,0.0,0.0194,0.0,petrochem_olefins
LU,decarbo-eu,2034,0.0,0.0192,0.0,petrochem_olefins
LU,decarbo-eu,2035,0.0,0.019,0.0,petrochem_olefins
LU,decarbo-eu,2036,0.0,0.0188,0.0,petrochem_olefins
LU,decarbo-eu,2037,0.0,0.018600000000000002,0.0,petrochem_olefins
LU,decarbo-eu,2038,0.0,0.0184,0.0,petrochem_olefins
LU,decarbo-eu,2039,0.0,0.0182,0.0,petrochem_olefins
LU,decarbo-eu,2040,0.0,0.018000000000000002,0.0,petrochem_olefins
LU,decarbo-eu,2041,0.0,0.0178,0.0,petrochem_olefins
LU,decarbo-eu,2042,0.0,0.0176,0.0,petrochem_olefins
LU,decarbo-eu,2043,0.0,0.0174,0.0,petrochem_olefins
LU,decarbo-eu,2044,0.0,0.017200000000000003,0.0,petrochem_olefins
LU,decarbo-eu,2045,0.0,0.017,0.0,petrochem_olefins
LU,decarbo-eu,2046,0.0,0.016800000000000002,0.0,petrochem_olefins
LU,decarbo-eu,2047,0.0,0.0166,0.0,petrochem_olefins
LU,decarbo-eu,2048,0.0,0.0164,0.0,petrochem_olefins
LU,decarbo-eu,2049,0.0,0.016200000000000003,0.0,petrochem_olefins
LU,decarbo-eu,2050,0.0,0.016,0.0,petrochem_olefins
LV,decarbo-eu,2019,0.0,0.02,0.0,petrochem_olefins
LV,decarbo-eu,2020,0.0,0.02,0.0,petrochem_olefins
LV,decarbo-eu,2021,0.0,0.02,0.0,petrochem_olefins
LV,decarbo-eu,2022,0.0,0.02,0.0,petrochem_olefins
LV,decarbo-eu,2023,0.0,0.02,0.0,petrochem_olefins
LV,decarbo-eu,2024,0.0,0.02,0.0,petrochem_olefins
LV,decarbo-eu,2025,0.0,0.02,0.0,petrochem_olefins
LV,decarbo-eu,2026,0.0,0.02,0.0,petrochem_olefins
LV,decarbo-eu,2027,0.0,0.02,0.0,petrochem_olefins
LV,decarbo-eu,2028,0.0,0.02,0.0,petrochem_olefins
LV,decarbo-eu,2029,0.0,0.02,0.0,petrochem_olefins
LV,decarbo-eu,2030,0.0,0.02,0.0,petrochem_olefins
LV,decarbo-eu,2031,0.0,0.0198,0.0,petrochem_olefins
LV,decarbo-eu,2032,0.0,0.0196,0.0,petrochem_olefins
LV,decarbo-eu,2033,0.0,0.0194,0.0,petrochem_olefins
LV,decarbo-eu,2034,0.0,0.0192,0.0,petrochem_olefins
LV,decarbo-eu,2035,0.0,0.019,0.0,petrochem_olefins
LV,decarbo-eu,2036,0.0,0.0188,0.0,petrochem_olefins
LV,decarbo-eu,2037,0.0,0.018600000000000002,0.0,petrochem_olefins
LV,decarbo-eu,2038,0.0,0.0184,0.0,petrochem_olefins
LV,decarbo-eu,2039,0.0,0.0182,0.0,petrochem_olefins
